BetaShares Portfolio Holdings,,,,,,,,,,
,,,,,,,,,,
Fund Name,BetaShares Australia 200 ETF,,,,,,,,,
Fund ASX Code,A200,,,,,,,,,
Date,2023-02-17,,,,,,,,,
,,,,,,,,,,
Ticker,SEDOL,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
BHP AT,6144690,BHP GROUP LTD,Equities,Materials,Australia,AUD,0.109881,6153377,295362096,295362096
CBA AT,6215035,COMMONWEALTH BANK OF AUSTRALIA,Equities,Financials,Australia,AUD,0.079339,2112146,213263381.62,213263381.62
CSL AT,6185495,CSL LTD,Equities,Healthcare,Australia,AUD,0.067101,604452,180368476.8,180368476.8
NAB AT,6624608,NATIONAL AUSTRALIA BANK LTD,Equities,Financials,Australia,AUD,0.043725,3937506,117534554.1,117534554.1
WBC AT,6076146,WESTPAC BANKING CORP,Equities,Financials,Australia,AUD,0.037125,4380648,99791161.44,99791161.44
ANZ AT,6065586,ANZ GROUP HOLDINGS LTD,Equities,Financials,Australia,AUD,0.03435,3742776,92334283.92,92334283.92
MQG AT,B28YTC2,MACQUARIE GROUP LTD,Equities,Financials,Australia,AUD,0.032481,461950,87308550,87308550
WDS AT,BMGT167,WOODSIDE ENERGY GROUP LTD,Equities,Energy,Australia,AUD,0.030451,2371840,81852198.4,81852198.4
WES AT,6948836,WESFARMERS LTD,Equities,Consumer Discretionary,Australia,AUD,0.026671,1403249,71691991.41,71691991.41
TLS AT,6087289,TELSTRA GROUP LTD,Equities,Communication Services,Australia,AUD,0.022568,14409549,60664201.29,60664201.29
RIO AT,6220103,RIO TINTO LTD,Equities,Materials,Australia,AUD,0.021473,464507,57719639.82,57719639.82
WOW AT,6981239,WOOLWORTHS GROUP LTD,Equities,Consumer Staples,Australia,AUD,0.020771,1521713,55831649.97,55831649.97
TCL AT,6200882,TRANSURBAN GROUP,Equities,Industrials,Australia,AUD,0.020164,3852159,54199877.13,54199877.13
GMG AT,B03FYZ4,GOODMAN GROUP,Equities,Real Estate,Australia,AUD,0.016858,2279355,45313577.4,45313577.4
FMG AT,6086253,FORTESCUE METALS GROUP LTD,Equities,Materials,Australia,AUD,0.016329,1971836,43893069.36,43893069.36
COL AT,BYWR0T5,COLES GROUP LTD,Equities,Consumer Staples,Australia,AUD,0.010797,1591161,29022776.64,29022776.64
QBE AT,6715740,QBE INSURANCE GROUP LTD,Equities,Financials,Australia,AUD,0.009914,1851870,26648409.3,26648409.3
STO AT,6776703,SANTOS LTD,Equities,Energy,Australia,AUD,0.009776,3836100,26277285,26277285
NCM AT,6637101,NEWCREST MINING LTD,Equities,Materials,Australia,AUD,0.009774,1114720,26273950.4,26273950.4
ALL AT,6253983,ARISTOCRAT LEISURE LTD,Equities,Consumer Discretionary,Australia,AUD,0.009699,734405,26071377.5,26071377.5
S32 AT,BWSW5D9,SOUTH32 LTD,Equities,Materials,Australia,AUD,0.009647,5724261,25930902.33,25930902.33
BXB AT,B1FJ0C0,BRAMBLES LTD,Equities,Industrials,Australia,AUD,0.00783,1735108,21046860.04,21046860.04
SUN AT,6585084,SUNCORP GROUP LTD,Equities,Financials,Australia,AUD,0.00752,1581613,20213014.14,20213014.14
SHL AT,6821120,SONIC HEALTHCARE LTD,Equities,Healthcare,Australia,AUD,0.007159,575327,19244688.15,19244688.15
SCG AT,BLZH0Z7,SCENTRE GROUP,Equities,Real Estate,Australia,AUD,0.007109,6499919,19109761.86,19109761.86
COH AT,6211798,COCHLEAR LTD,Equities,Healthcare,Australia,AUD,0.006871,82094,18470329.06,18470329.06
JHX AT,B60QWJ2,JAMES HARDIE INDUSTRIES PLC,Equities,Materials,Australia,AUD,0.006622,548198,17799989.06,17799989.06
MIN AT,B17ZL56,MINERAL RESOURCES LTD,Equities,Materials,Australia,AUD,0.006461,204141,17366274.87,17366274.87
ASX AT,6129222,ASX LTD,Equities,Financials,Australia,AUD,0.006075,240253,16329996.41,16329996.41
NST AT,6717456,NORTHERN STAR RESOURCES LTD,Equities,Materials,Australia,AUD,0.006027,1422474,16201978.86,16201978.86
APA AT,6247306,APA GROUP,Equities,Utilities,Australia,AUD,0.005961,1475319,16021964.34,16021964.34
