BetaShares Portfolio Holdings,
,
Fund Name,BetaShares Asia Technology Tigers ETF
Fund ASX Code,ASIA
Date,2023-02-17
,
Ticker,SEDOL,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
700 HK,BMMV2K8,TENCENT HOLDINGS LTD,Equities,Communication Services,China,HKD,0.111838,818100.0,58011168.35940396,58011168.35940396
005930 KP,6771720,SAMSUNG ELECTRONICS CO LTD,Equities,Information Technology,South Korea,KRW,0.100555,732165.0,52158628.67467465,52158628.67467465
BABA UN,BP41ZD1,ALIBABA GROUP HOLDING LTD,Equities,Consumer Discretionary,China,USD,0.099582,344565.0,51654691.988950275,51654691.988950275
TSM UN,2113382,TAIWAN SEMICONDUCTOR MANUFACTU,Equities,Information Technology,Taiwan,USD,0.099383,390411.0,51551507.73480663,51551507.73480663
PDD UW,BYVW0F7,PINDUODUO INC,Equities,Consumer Discretionary,China,USD,0.083607,308178.0,43368055.56847921,43368055.56847921
INFY UN,2398822,INFOSYS LTD,Equities,Information Technology,India,USD,0.05506,1027397.0,28560381.855190463,28560381.855190463
JD UW,BMM27D9,JD.COM INC,Equities,Consumer Discretionary,China,USD,0.047013,310038.0,24386530.677522536,24386530.677522536
NTES UW,2606440,NETEASE INC,Equities,Communication Services,China,USD,0.040967,166449.0,21250198.735097412,21250198.735097412
2317 TT,6438564,HON HAI PRECISION INDUSTRY CO,Equities,Information Technology,Taiwan,TWD,0.028205,2959200.0,14630470.712995958,14630470.712995958
BIDU UW,B0FXT17,BAIDU INC,Equities,Communication Services,China,USD,0.027725,66382.0,14381479.819715034,14381479.819715034
000660 KP,6450267,SK HYNIX INC,Equities,Information Technology,South Korea,KRW,0.025952,129568.0,13461431.23757513,13461431.23757513
2454 TT,6372480,MEDIATEK INC,Equities,Information Technology,Taiwan,TWD,0.023441,358000.0,12158955.202491617,12158955.202491617
SE UN,BYWD7L4,SEA LTD,Equities,Communication Services,Taiwan,USD,0.020222,107956.0,10489531.08461762,10489531.08461762
035420 KP,6560393,NAVER CORP,Equities,Communication Services,South Korea,KRW,0.019034,40037.0,9872971.648483787,9872971.648483787
WIT UN,2646123,WIPRO LTD,Equities,Information Technology,India,USD,0.018471,1339391.0,9580988.252398953,9580988.252398953
1810 HK,BG0ZMJ9,XIAOMI CORP,Equities,Information Technology,China,HKD,0.01736,3697600.0,9004830.602713322,9004830.602713322
BEKE UN,BMBX7M2,KE HOLDINGS INC,Equities,Real Estate,China,USD,0.016147,295583.0,8375854.419889503,8375854.419889503
1024 HK,BLC90T0,KUAISHOU TECHNOLOGY,Equities,Communication Services,China,HKD,0.013686,618800.0,7099065.905552672,7099065.905552672
2308 TT,6260734,DELTA ELECTRONICS INC,Equities,Information Technology,Taiwan,TWD,0.012942,470000.0,6712938.636298497,6712938.636298497
2303 TT,6916628,UNITED MICROELECTRONICS CORP,Equities,Information Technology,Taiwan,TWD,0.012665,2745000.0,6569369.739469385,6569369.739469385
ASX UN,BFXQ991,ASE TECHNOLOGY HOLDING CO LTD,Equities,Information Technology,Taiwan,USD,0.010697,532276.0,5548733.527188136,5548733.527188136
035720 KP,6194037,KAKAO CORP,Equities,Communication Services,South Korea,KRW,0.010392,75075.0,5390240.427370768,5390240.427370768
VIPS UN,B3N0H17,VIPSHOP HOLDINGS LTD,Equities,Consumer Discretionary,China,USD,0.005346,133668.0,2773251.468450131,2773251.468450131
BZ UW,BM91SH0,KANZHUN LTD,Equities,Communication Services,China,USD,0.005322,79674.0,2760441.145681884,2760441.145681884
3034 TT,6346333,NOVATEK MICROELECTRONICS CORP,Equities,Information Technology,Taiwan,TWD,0.00522,141000.0,2707626.7543063504,2707626.7543063504
034730 KP,B39Z8L3,SK INC,Equities,Industrials,South Korea,KRW,0.004811,11883.0,2495740.6519354614,2495740.6519354614
TME UN,BFZYWR2,TENCENT MUSIC ENTERTAINMENT GR,Equities,Communication Services,China,USD,0.004739,204452.0,2458298.9822622854,2458298.9822622854
BILI UW,BFNLRN6,BILIBILI INC,Equities,Communication Services,China,USD,0.004522,70922.0,2345849.8109915676,2345849.8109915676
009150 KP,6771689,SAMSUNG ELECTRO-MECHANICS CO L,Equities,Information Technology,South Korea,KRW,0.004504,13797.0,2336083.2070343327,2336083.2070343327
3690 HK,BGJW376,MEITUAN,Equities,Consumer Discretionary,China,HKD,0.004333,81770.0,2247477.7596560162,2247477.7596560162
6415 TT,BH4DMW9,SILERGY CORP,Equities,Information Technology,China,TWD,0.004216,78000.0,2187138.749032683,2187138.749032683
2327 TT,6984380,YAGEO CORP,Equities,Information Technology,Taiwan,TWD,0.00413,78000.0,2142427.224350584,2142427.224350584
268 HK,6327587,KINGDEE INTERNATIONAL SOFTWARE,Equities,Information Technology,China,HKD,0.004067,676000.0,2109837.645488917,2109837.645488917
LU UN,BNDK6G5,LUFAX HOLDING LTD,Equities,Financials,China,USD,0.003966,554923.0,2057362.0965396918,2057362.0965396918
8069 TT,6744283,E INK HOLDINGS INC,Equities,Information Technology,Taiwan,TWD,0.003813,201000.0,1977911.7425074757,1977911.7425074757
2379 TT,6051422,REALTEK SEMICONDUCTOR CORP,Equities,Information Technology,Taiwan,TWD,0.003774,114000.0,1957705.5726992195,1957705.5726992195
968 HK,BGQYNN1,XINYI SOLAR HOLDINGS LTD,Equities,Information Technology,China,HKD,0.003611,1102000.0,1872885.3139595226,1872885.3139595226
066970 KQ,6578608,L&F CO LTD,Equities,Information Technology,South Korea,KRW,0.003355,6378.0,1740412.1612070308,1740412.1612070308
2301 TT,6519481,LITE-ON TECHNOLOGY CORP,Equities,Information Technology,Taiwan,TWD,0.003217,499000.0,1668561.4926770548,1668561.4926770548
2345 TT,6005214,ACCTON TECHNOLOGY CORP,Equities,Information Technology,Taiwan,TWD,0.003211,123000.0,1665719.2536614726,1665719.2536614726
ATHM UN,BH5QGR0,AUTOHOME INC,Equities,Communication Services,China,USD,0.003123,31093.0,1619747.2957255016,1619747.2957255016
259960 KP,BMBP900,KRAFTON INC,Equities,Communication Services,South Korea,KRW,0.002863,7453.0,1485308.23517202,1485308.23517202
GDS UQ,BD6FLL7,GDS HOLDINGS LTD,Equities,Information Technology,China,USD,0.002757,43838.0,1430248.2116894447,1430248.2116894447
009830 KP,6407768,HANWHA SOLUTIONS CORP,Equities,Materials,South Korea,KRW,0.002751,28047.0,1427169.576762654,1427169.576762654
018260 KP,BRS2KY0,SAMSUNG SDS CO LTD,Equities,Information Technology,South Korea,KRW,0.002507,8878.0,1300661.2580275168,1300661.2580275168
20 HK,BPK3C96,SENSETIME GROUP INC,Equities,Information Technology,China,HKD,0.00247,2609000.0,1281386.6854474016,1281386.6854474016
3888 HK,B27WRM3,KINGSOFT CORP LTD,Equities,Information Technology,China,HKD,0.002351,225000.0,1219743.8653717844,1219743.8653717844
2409 TT,6288190,AUO CORP,Equities,Information Technology,Taiwan,TWD,0.002243,1357000.0,1163557.7189479417,1163557.7189479417
2377 TT,6133450,MICRO-STAR INTERNATIONAL CO LT,Equities,Information Technology,Taiwan,TWD,0.002071,166000.0,1074461.8853359574,1074461.8853359574
WB UW,BLLJ4H7,WEIBO CORP,Equities,Communication Services,China,USD,0.002044,32489.0,1060450.7851119512,1060450.7851119512
522 HK,6002453,ASM PACIFIC TECHNOLOGY LTD,Equities,Information Technology,Hong Kong,HKD,0.001785,74900.0,925908.1473793462,925908.1473793462
AUD,,AUD - AUSTRALIA DOLLAR,Cash,,,AUD,0.000972,503996.79,503996.79,503996.79
KRW,,KRW - KOREAN WON,Cash,,,KRW,0.00051,236617096.58999997,264620.74578516226,264620.74578516226
USD,,USD - UNITED STATES DOLLAR,Cash,,,USD,0.0004369999999999999,156111.71000000002,226972.53562082,226972.53562082
HKD,,HKD - HONG KONG DOLLAR,Cash,,,HKD,1.200000000000002e-05,34846.580000000075,6458.332715546014,6458.332715546014
TWD,,TWD - TAIWANESE DOLLAR,Cash,,,TWD,,-1.9700000006705523,-0.09410438418854028,-0.09410438418854028
""
"Total weights may not add up to 100% due to rounding or immateriality. Holdings, weights and values are subject to change."
"BetaShares makes no representation or warranty of any kind, either express or implied, with respect to the holdings data,"
"its timeliness, the information's use or any other matter."
