Betashares Portfolio Holdings,
,
Fund Name,Betashares Global Shares ETF
Fund ASX Code,BGBL
Date,2023-09-21
,
Ticker,SEDOL,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
AAPL UW,2046251,APPLE INC,Equities,Information Technology,United States,USD,4.9088222585,19558.0,5301937.25,5301937.25
MSFT UW,2588173,MICROSOFT CORP,Equities,Information Technology,United States,USD,4.4689285724,9692.0,4826815.4,4826815.4
AMZN UW,2000019,AMAZON.COM INC,Equities,Consumer Discretionary,United States,USD,2.219197861,11891.0,2396918.69,2396918.69
NVDA UW,2379504,NVIDIA CORP,Equities,Information Technology,United States,USD,1.8591318775999999,3141.0,2008017.41,2008017.41
GOOGL UW,BYVY8G0,ALPHABET INC,Equities,Communication Services,United States,USD,1.4307372722,7601.0,1545315.52,1545315.52
TSLA UW,B616C79,TESLA INC,Equities,Consumer Discretionary,United States,USD,1.3397857225,3631.0,1447080.27,1447080.27
GOOG UW,BYY88Y7,ALPHABET INC,Equities,Communication Services,United States,USD,1.3229234249000001,6979.0,1428867.58,1428867.58
META UW,B7TL820,META PLATFORMS INC,Equities,Communication Services,United States,USD,1.2418431346,2910.0,1341294.11,1341294.11
BRK/B UN,2073390,BERKSHIRE HATHAWAY INC,Equities,Financials,United States,USD,0.8880415033,1694.0,959158.85,959158.85
UNH UN,2917766,UNITEDHEALTH GROUP INC,Equities,Healthcare,United States,USD,0.8873235332,1227.0,958383.39,958383.39
XOM UN,2326618,EXXON MOBIL CORP,Equities,Energy,United States,USD,0.8856462878,5348.0,956571.82,956571.82
LLY UN,2516152,ELI LILLY & CO,Equities,Healthcare,United States,USD,0.8843595867,1114.0,955182.08,955182.08
JNJ UN,2475833,JOHNSON & JOHNSON,Equities,Healthcare,United States,USD,0.8064553408999999,3457.0,871039.0,871039.0
JPM UN,2190385,JPMORGAN CHASE & CO,Equities,Financials,United States,USD,0.8017539454,3776.0,865961.1,865961.1
V UN,B2PZN04,VISA INC,Equities,Financials,United States,USD,0.7258965364000001,2126.0,784028.77,784028.77
PG UN,2704407,PROCTER & GAMBLE CO/THE,Equities,Consumer Staples,United States,USD,0.6812453579000001,3103.0,735801.78,735801.78
MA UN,B121557,MASTERCARD INC,Equities,Financials,United States,USD,0.6385248803,1097.0,689660.1,689660.1
AVGO UW,BDZ78H9,BROADCOM INC,Equities,Information Technology,United States,USD,0.6275747465,538.0,677833.04,677833.04
NESN SE,7123870,NESTLE SA,Equities,Consumer Staples,United States,CHF,0.6009898058,3491.0,649119.09,649119.09
HD UN,2434209,HOME DEPOT INC/THE,Equities,Consumer Discretionary,United States,USD,0.5962723806,1347.0,644023.88,644023.88
CVX UN,2838555,CHEVRON CORP,Equities,Energy,United States,USD,0.5449270262,2286.0,588566.61,588566.61
NOVOB DC,BP6KMJ1,NOVO NORDISK A/S,Equities,Healthcare,Denmark,DKK,0.5413137105,4084.0,584663.93,584663.93
ABBV UN,B92SR70,ABBVIE INC,Equities,Healthcare,United States,USD,0.5205246282,2351.0,562209.99,562209.99
MRK UN,2778844,MERCK & CO INC,Equities,Healthcare,United States,USD,0.5102538776,3313.0,551116.72,551116.72
COST UW,2701271,COSTCO WHOLESALE CORP,Equities,Consumer Staples,United States,USD,0.4749945662,593.0,513033.73,513033.73
PEP UW,2681511,PEPSICO INC,Equities,Consumer Staples,United States,USD,0.4590877631,1814.0,495853.05,495853.05
ASML NA,B929F46,ASML HOLDING NV,Equities,Information Technology,Netherlands,EUR,0.4534179564,534.0,489729.19,489729.19
ADBE UW,2008154,ADOBE INC,Equities,Information Technology,United States,USD,0.45012048169999996,607.0,486167.64,486167.64
WMT UN,2936921,WALMART INC,Equities,Consumer Staples,United States,USD,0.43390111619999994,1857.0,468649.38,468649.38
CSCO UW,2198163,CISCO SYSTEMS INC,Equities,Information Technology,United States,USD,0.425730768,5531.0,459824.72,459824.72
KO UN,2206657,COCA-COLA CO/THE,Equities,Consumer Staples,United States,USD,0.4237149566,5103.0,457647.48,457647.48
SHEL LN,BP6MXD8,SHELL PLC,Equities,Energy,Netherlands,GBP,0.4167639195,9051.0,450139.78,450139.78
7203 JT,6900643,TOYOTA MOTOR CORP,Equities,Consumer Discretionary,Japan,JPY,0.4132133314,15171.0,446304.84,446304.84
ACN UN,B4BNMY3,ACCENTURE PLC,Equities,Information Technology,United States,USD,0.4038549455,897.0,436197.01,436197.01
NOVN SE,7103065,NOVARTIS AG,Equities,Healthcare,Switzerland,CHF,0.3927986366,2656.0,424255.27,424255.27
AZN LN,0989529,ASTRAZENECA PLC,Equities,Healthcare,Britain,GBP,0.38289518489999996,1983.0,413558.72,413558.72
MC FP,4061412,LVMH MOET HENNESSY LOUIS VUITT,Equities,Consumer Discretionary,France,EUR,0.3825418669,341.0,413177.11,413177.11
MCD UN,2550707,MCDONALD'S CORP,Equities,Consumer Discretionary,United States,USD,0.3815967751,975.0,412156.33,412156.33
CRM UN,2310525,SALESFORCE INC,Equities,Information Technology,United States,USD,0.3793010428,1260.0,409676.75,409676.75
BAC UN,2295677,BANK OF AMERICA CORP,Equities,Financials,United States,USD,0.3697194015,9134.0,399327.77,399327.77
CMCSA UW,2044545,COMCAST CORP,Equities,Communication Services,United States,USD,0.368247645,5584.0,397738.15,397738.15
TMO UN,2886907,THERMO FISHER SCIENTIFIC INC,Equities,Healthcare,United States,USD,0.3626310303,501.0,391671.74,391671.74
ROG SE,7110388,ROCHE HOLDING AG,Equities,Healthcare,United States,CHF,0.3616290379,903.0,390589.51,390589.51
PFE UN,2684703,PFIZER INC,Equities,Healthcare,United States,USD,0.3611700389,7619.0,390093.75,390093.75
